"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order"
"true","false","[]","[]","[]","preload","0","736","0.0-0.0","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","","","","",""
"","","","","","instructions","1","26697","0.0-1.0","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","[{""page_index"":0,""viewing_time"":25947}]","25955","","","",""
"","","","","","html-keyboard-response","2","27209","0.0-2.0","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","null","<p> + <p/>","null","",""
"","","","","","instructions","3","65325","0.0-3.0","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","[{""page_index"":0,""viewing_time"":2889},{""page_index"":1,""viewing_time"":10403},{""page_index"":2,""viewing_time"":10761},{""page_index"":3,""viewing_time"":3783},{""page_index"":4,""viewing_time"":10273}]","38110","","","",""
"","","","","","html-button-response","4","88303","0.0-4.0-0.0-0.0","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","22960","","1","",""
"","","","","","html-button-response","5","89016","0.0-4.1-0.1-0.1","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","702","","0","",""
"","","","","","html-button-response","6","93890","0.0-4.2-0.2-0.2","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","4865","","4","",""
"","","","","","html-button-response","7","94990","0.0-4.3-0.3-0.3","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","1087","","3","",""
"","","","","","html-button-response","8","99113","0.0-4.4-0.4-0.4","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","4112","","2","",""
"","","","","","html-button-response","9","102796","0.0-4.5-0.5-0.5","14","1","2025-01-20 20:13:58","8e5ef0ea70509e21e61f535100ed03ac","76.141.38.119","Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","WebKit","Chrome","103.0.0.0","ChromeOS","14816.131.0","https://app.prolific.com/","en-US,en;q=0.9","5b7f12c28e39df00016ad638","678b1bdf6d0aefd65c71dcd2","678eae6847a1c85b11bc678c","","3672","","3","",""
