"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order"
"true","false","[]","[]","[]","preload","0","2566","0.0-0.0","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","","","","",""
"","","","","","instructions","1","161633","0.0-1.0","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","[{""page_index"":0,""viewing_time"":159059}]","159060","","","",""
"","","","","","html-keyboard-response","2","162152","0.0-2.0","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","null","<p> + <p/>","null","",""
"","","","","","instructions","3","259007","0.0-3.0","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","[{""page_index"":0,""viewing_time"":2156},{""page_index"":1,""viewing_time"":37442},{""page_index"":2,""viewing_time"":24656},{""page_index"":3,""viewing_time"":3047},{""page_index"":4,""viewing_time"":29546}]","96847","","","",""
"","","","","","html-button-response","4","324726","0.0-4.0-0.0-0.0","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","65716","","3","Intro Trial",""
"","","","","","html-button-response","5","326325","0.0-4.1-0.1-0.1","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","1581","","1","Intro Trial",""
"","","","","","html-button-response","6","327573","0.0-4.2-0.2-0.2","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","1238","","3","Intro Trial",""
"","","","","","html-button-response","7","329080","0.0-4.3-0.3-0.3","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","1502","","2","Intro Trial",""
"","","","","","html-button-response","8","329961","0.0-4.4-0.4-0.4","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","870","","3","Intro Trial",""
"","","","","","html-button-response","9","331173","0.0-4.5-0.5-0.5","25","1","2025-01-22 20:19:54","6073afb29c8d06c5d8f22ae9f1371ff8","107.180.176.71","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0","","Firefox","134.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","6788d757838ec1fd4189dc63","679147d2997803490f072fae","679152da5a9877d2deb3f842","","1202","","0","Intro Trial",""
